FID,distance
0,1001.360647
1,1101.823443
2,1047.971649
3,1015.322174
4,1086.452827
5,1041.888557
6,1054.52193
7,1121.969067
8,1197.614872
9,1082.40161
10,1013.107191
11,1005.04993
12,1152.058398
13,1115.247762
14,1044.606816
15,1089.814887
16,1105.312597
17,1039.594557
18,1184.783619
19,1143.754313
20,1296.877039
21,1171.331746
22,968.0813527
23,1279.745881
24,1049.520733
25,1058.761399
26,1027.761431
27,1113.272809
28,1079.08624
29,1097.889456
30,987.3230505
31,1126.289876
32,1062.294981
33,1003.639315
34,1009.335583
35,1192.189581
36,1059.413233
37,996.7110262
38,1094.39863
39,1162.266416
40,1036.801422
41,1069.967228
42,1062.87935
43,1084.209341
44,1147.60995
45,1012.840284
46,1063.477239
47,1110.262964
48,1170.948138
49,1047.499046
50,1164.0089
51,1025.512563
52,995.7641076
53,1104.457226
54,1115.250395
55,1048.562586
56,1100.567198
57,982.0436598
58,1226.320506
59,1017.397135
60,1107.769975
61,1070.01011
62,1103.244915
63,1120.290876
64,1056.414296
65,989.2784721
66,1235.460388
67,1115.798949
68,1031.099813
69,1059.535775
70,1090.042613
71,963.2575632
72,1053.26674
73,1008.335683
74,1095.008495
75,992.1384903
76,1134.338149
77,1067.056126
78,1066.087173
79,1134.585607
80,983.7483232
81,1251.731797
82,1178.952041
83,1155.795433
84,1080.5274
85,1077.623693
86,1042.301766
87,1103.027588
88,1136.463966
89,975.4975641
90,1125.235192
91,1179.164927
92,1071.448345
93,1129.554814
94,1165.148997
95,1210.725188
96,1040.544279
97,1023.16024
98,992.3749946
99,998.5180213
100,1015.347297
101,1130.300626
102,974.594897
103,992.8619477
104,1272.501413
105,1125.536705
106,1023.378704
107,1241.132921
108,1038.573153
109,924.1558446
110,1103.782758
111,799.8647127
112,942.2997432
113,889.4835502
114,943.6199397
115,952.7673929
116,939.1526557
117,952.8740708
118,874.9141455
119,828.2689401
120,831.435264
121,919.422715
122,933.6256292
123,940.9902538
124,946.3980143
125,908.0050335
126,964.3654711
127,985.4571003
128,999.7521478
129,1011.587846
130,861.4187625
131,947.5127513
132,871.6441535
133,1019.869952
134,873.3050426
135,882.9683087
136,915.5162298
137,1104.266981
138,795.7340894
139,912.6332727
140,1014.763384
141,1016.547386
142,957.8529503
143,944.4839219
144,674.4303776
145,810.5554851
146,931.7327529
147,699.0342131
148,965.973195
149,920.8701795
150,939.384766
151,1027.739844
152,830.0412437
153,701.3845563
154,1093.768067
155,915.585121
156,949.3480708
157,789.4512961
158,919.2159101
159,748.8807882
160,828.7722047
161,908.4222441
162,623.3722538
163,932.5351956
164,900.0978108
