OBJECTID,INPUT_FID,NEAR_FID,DISTANCE
-1,0,0,3285.303959491113800
-1,0,1,6526.680379687353700
-1,0,2,9070.129685859459600
-1,1,0,3614.906307455160900
-1,1,1,7048.892296206410700
-1,1,2,9630.615375380191800
-1,2,0,3438.227193267245200
-1,2,1,6581.442204131534700
-1,2,2,9098.008477779416400
-1,3,0,3331.109494020382000
-1,3,1,6526.168179323524800
-1,3,2,9057.875175829816700
-1,4,0,3564.477779696624600
-1,4,1,6794.667182306222500
-1,4,2,9328.089496754168100
-1,5,0,3418.269545216978300
-1,5,1,6806.883126592774700
-1,5,2,9381.097404842112200
-1,6,0,3459.717617266098400
-1,6,1,6751.052335597834800
-1,6,2,9301.582747904793000
-1,7,0,3681.000875710111400
-1,7,1,7138.814775545542000
-1,7,2,9725.417784970763000
-1,8,0,3929.182651651698100
-1,8,1,7215.219954887006700
-1,8,2,9753.894101607969800
-1,9,0,3551.186384940564500
-1,9,1,7016.475896991707500
-1,9,2,9606.752773697662600
-1,10,0,3323.842491466447900
-1,10,1,6355.008049842953400
-1,10,2,8850.137028759874700
-1,11,0,3297.407907729972100
-1,11,1,6512.789988099079900
-1,11,2,9050.059239136524400
-1,12,0,3779.719152302242000
-1,12,1,6989.052636444088400
-1,12,2,9511.748886098037500
-1,13,0,3658.949351337139000
-1,13,1,7127.379120276391400
-1,13,2,9716.915120050209200
-1,14,0,3427.187715183809400
-1,14,1,6665.398201606933100
-1,14,2,9204.323963667171500
-1,15,0,3575.508158543996600
-1,15,1,7028.733659055272300
-1,15,2,9615.738349703460700
-1,16,0,3626.353665951908200
-1,16,1,6913.464887361135900
-1,16,2,9459.127082236080200
-1,17,0,3410.743298028750800
-1,17,1,6487.001170216970400
-1,17,2,8989.078295719469700
-1,18,0,3887.085363932447800
-1,18,1,7328.282709501222600
-1,18,2,9907.741245184826800
-1,19,0,3752.474781734080800
-1,19,1,7175.769203146445800
-1,19,2,9752.697875547302800
-1,20,0,4254.845927338956200
-1,20,1,7580.925179477674600
-1,20,2,10123.767168509112000
-1,21,0,3842.951923304227000
-1,21,1,7305.003032425639500
-1,21,2,9890.424575330231200
-1,22,0,3176.119923572166500
-1,22,1,6294.665436300113500
-1,22,2,8814.423751263007900
-1,23,0,4198.641341858173300
-1,23,1,7549.378510505891400
-1,23,2,10099.947889520179000
-1,24,0,3443.309492003792500
-1,24,1,6533.902405410475700
-1,24,2,9038.132957440277100
-1,25,0,3473.626637361065100
-1,25,1,6689.318558828173100
-1,25,2,9221.734378909575800
-1,26,0,3371.920704377926500
-1,26,1,6632.963093559465100
-1,26,2,9178.602759231693200
-1,27,0,3652.469845693277900
-1,27,1,6820.124565013491500
-1,27,2,9336.018049269750900
-1,28,0,3540.309185866439300
-1,28,1,6782.058954799137600
-1,28,2,9318.871141069726900
-1,29,0,3601.999528520296700
-1,29,1,7042.460003592782400
-1,29,2,9625.962533522722900
-1,30,0,3239.248853264389700
-1,30,1,6419.309307703415500
-1,30,2,8950.430028104849000
-1,31,0,3695.176758714835600
-1,31,1,6877.730547594709600
-1,31,2,9396.057380164918900
-1,32,0,3485.219755218879500
-1,32,1,6897.324542769335500
-1,32,2,9475.888319554334900
-1,33,0,3292.779903781618500
-1,33,1,6446.463653296631500
-1,33,2,8970.039531077405600
-1,34,0,3311.468447468501800
-1,34,1,6516.271227091105200
-1,34,2,9050.753793121837600
-1,35,0,3911.383140533409900
-1,35,1,7393.638515810304900
-1,35,2,9983.362327368688100
-1,36,0,3475.765200243859900
-1,36,1,6748.698257482215900
-1,36,2,9294.515989174171400
-1,37,0,3270.049298399673700
-1,37,1,6506.479126524042800
-1,37,2,9049.235546885956900
-1,38,0,3590.546687560712100
-1,38,1,6808.337153846238800
-1,38,2,9338.092603180426500
-1,39,0,3813.210026800422400
-1,39,1,7064.427599179121900
-1,39,2,9596.827388663192300
-1,40,0,3401.579468139939800
-1,40,1,6562.506395756723600
-1,40,2,9084.303033233263700
-1,41,0,3510.391166945721600
-1,41,1,6711.037502803075800
-1,41,2,9238.891256421406100
-1,42,0,3487.136973919023100
-1,42,1,6692.909694733513800
-1,42,2,9222.621916295860500
-1,43,0,3557.117260473017700
-1,43,1,6941.229716935505200
-1,43,2,9511.821643283596100
-1,44,0,3765.124507967524600
-1,44,1,7264.423717802968900
-1,44,2,9860.287810992978800
-1,45,0,3322.966811854884800
-1,45,1,6461.774995757344200
-1,45,2,8981.039119826526100
-1,46,0,3489.098552806244700
-1,46,1,6755.551947283884100
-1,46,2,9299.514957055609600
-1,47,0,3642.595024964049100
-1,47,1,6921.960927185075900
-1,47,2,9465.359878041703300
-1,48,0,3841.693366942767600
-1,48,1,7191.589025567604000
-1,48,2,9748.418872755241000
-1,49,0,3436.676659973634300
-1,49,1,6721.772481357828800
-1,49,2,9271.386405823273900
-1,50,0,3818.926836018105000
-1,50,1,7292.210611986889500
-1,50,2,9880.814825280067500
-1,51,0,3364.542528507926400
-1,51,1,6483.438572623647800
-1,51,2,8996.828154336308200
-1,52,0,3266.942610261291100
-1,52,1,6340.795916101914400
-1,52,2,8847.542424514116600
-1,53,0,3623.547327904926500
-1,53,1,6825.746005134344200
-1,53,2,9350.844383938028800
-1,54,0,3658.957988966192300
-1,54,1,6930.548881790608900
-1,54,2,9471.663559521872200
-1,55,0,3440.165963724122800
-1,55,1,6672.057785765585300
-1,55,2,9209.167669026583100
-1,56,0,3610.784771682640000
-1,56,1,6905.346913866543200
-1,56,2,9453.174776964060600
-1,57,0,3221.928017843428300
-1,57,1,6410.464666808070400
-1,57,2,8943.986078501113300
-1,58,0,4023.361241081258400
-1,58,1,7321.217779164529900
-1,58,2,9860.991832913674400
-1,59,0,3337.917110652900600
-1,59,1,6469.616197695366300
-1,59,2,8986.788042250751500
-1,60,0,3634.415928855371900
-1,60,1,7114.835317289626800
-1,60,2,9707.654238116718300
-1,61,0,3510.531856728025600
-1,61,1,6766.611556345172200
-1,61,2,9307.587126302261800
-1,62,0,3619.569930932101200
-1,62,1,6774.317068050224400
-1,62,2,9288.045644421668800
-1,63,0,3675.495001112122300
-1,63,1,6939.256658207340500
-1,63,2,9478.058597213801500
-1,64,0,3465.926168340700300
-1,64,1,6835.579756091513400
-1,64,2,9404.432761493069800
-1,65,0,3245.664278586489200
-1,65,1,6470.883770796982400
-1,65,2,9011.820085789326200
-1,66,0,4053.347731076810800
-1,66,1,7417.801985320337700
-1,66,2,9974.582631606315800
-1,67,0,3660.757705741510100
-1,67,1,7072.451026975662000
-1,67,2,9647.967833355760400
-1,68,0,3382.873403620476400
-1,68,1,6552.609134378741100
-1,68,2,9077.000015999672500
-1,69,0,3476.167242364726500
-1,69,1,6771.843446492053800
-1,69,2,9323.012845400528000
-1,70,0,3576.255292172069400
-1,70,1,6964.108330761752800
-1,70,2,9535.257432668575300
-1,71,0,3160.293842619033100
-1,71,1,6224.358168626065900
-1,71,2,8732.990354740853900
-1,72,0,3455.599541273384600
-1,72,1,6680.004834302139900
-1,72,2,9214.952224127939200
-1,73,0,3308.187935476612900
-1,73,1,6454.476795489952600
-1,73,2,8975.901346120806900
-1,74,0,3592.547554397451200
-1,74,1,6737.512278493025400
-1,74,2,9249.699885544134300
-1,75,0,3255.047540514805000
-1,75,1,6259.448436980671400
-1,75,2,8751.428559315318100
-1,76,0,3721.581852111375600
-1,76,1,6961.003103624148900
-1,76,2,9492.675857453348700
-1,77,0,3500.840307966312600
-1,77,1,6905.190771066601900
-1,77,2,9481.638720668655900
-1,78,0,3497.661329370189800
-1,78,1,6612.639676655731800
-1,78,2,9120.714903094816700
-1,79,0,3722.393723763579100
-1,79,1,7019.820348048071500
-1,79,2,9565.872180590024100
-1,80,0,3227.520745469530100
-1,80,1,6320.677845275540700
-1,80,2,8833.097368185093700
-1,81,0,4106.731616748503300
-1,81,1,7445.438911952142900
-1,81,2,9994.418871533913300
-1,82,0,3867.952891392164000
-1,82,1,7370.942326157047300
-1,82,2,9966.529211979836000
-1,83,0,3791.979765535769300
-1,83,1,7278.412142607686300
-1,83,2,9870.697668941174900
-1,84,0,3545.037402989455600
-1,84,1,6726.563862597222400
-1,84,2,9248.898293499471000
-1,85,0,3535.510804268516900
-1,85,1,6915.322923246662000
-1,85,2,9485.277750239025400
-1,86,0,3419.625218174015100
-1,86,1,6571.751509558219400
-1,86,2,9090.961669038031700
-1,87,0,3618.856914586041500
-1,87,1,6940.396306159259400
-1,87,2,9494.609141789718700
-1,88,0,3728.556318450921000
-1,88,1,7245.658636279167700
-1,88,2,9846.417879846403600
-1,89,0,3200.451325864469700
-1,89,1,6306.939623358155600
-1,89,2,8823.230530316952400
-1,90,0,3691.716508971359400
-1,90,1,7144.121307038447400
-1,90,2,9729.229516161469300
-1,91,0,3868.651334681047500
-1,91,1,7244.498687157120000
-1,91,2,9807.469339194705800
-1,92,0,3515.250476664206000
-1,92,1,6912.471016564349200
-1,92,2,9486.963167864491000
-1,93,0,3705.888496561906300
-1,93,1,7011.120046742233200
-1,93,2,9559.467414138578500
-1,94,0,3822.667311433519900
-1,94,1,7347.272882816813800
-1,94,2,9948.889854554681700
-1,95,0,3972.195497508339000
-1,95,1,7425.974770946655600
-1,95,2,10007.505609910948000
-1,96,0,3413.859184278711400
-1,96,1,6658.575350099293200
-1,96,2,9199.362199360577500
-1,97,0,3356.824934402251100
-1,97,1,6539.320167503116900
-1,97,2,9067.411196994444300
-1,98,0,3255.823473191324900
-1,98,1,6487.565491995733300
-1,98,2,9029.668365252611700
-1,99,0,3275.977760244742100
-1,99,1,6437.904761963043700
-1,99,2,8963.854721345029200
-1,100,0,3331.191919029461600
-1,100,1,6657.460297447720200
-1,100,2,9219.022524003423300
-1,101,0,3708.335388389805800
-1,101,1,7152.699554455677600
-1,101,2,9735.566206628394900
-1,102,0,3197.489819599333300
-1,102,1,6243.293861462266200
-1,102,2,8746.564573774006900
-1,103,0,3257.421088153338100
-1,103,1,6428.489944114234300
-1,103,2,8957.055582101857000
-1,104,0,4174.873402624723000
-1,104,1,7485.685640857899700
-1,104,2,10025.887400734322000
-1,105,0,3692.705725142924600
-1,105,1,6948.349690967734200
-1,105,2,9484.740345396790900
-1,106,0,3357.541680654086600
-1,106,1,6696.230836239376900
-1,106,2,9260.067840128407600
-1,107,0,4071.958401945275500
-1,107,1,7463.799210799238600
-1,107,2,10027.531070918703000
-1,108,0,3407.392234370183800
-1,108,1,6684.362078090462100
-1,108,2,9232.792395573998900
-1,109,0,3032.007364226030400
-1,109,1,6621.973501417716800
-1,109,2,9246.892575014366200
-1,110,0,3621.334509195708500
-1,110,1,7190.580267535639900
-1,110,2,9805.346160263401500
-1,111,0,2624.228059925676500
-1,111,1,6292.065578822321200
-1,111,2,8935.969725348983000
-1,112,0,3091.534590702160100
-1,112,1,6706.880598398165600
-1,112,2,9336.817529907488300
-1,113,0,2918.253117533239700
-1,113,1,6651.278119562331100
-1,113,2,9307.176555264777600
-1,114,0,3095.865944038865100
-1,114,1,6651.418580997436900
-1,114,2,9268.215545942395700
-1,115,0,3125.877273393261500
-1,115,1,6811.714728231138900
-1,115,2,9456.929476164712500
-1,116,0,3081.209500426808100
-1,116,1,6814.191263409046800
-1,116,2,9467.616066020677000
-1,117,0,3126.227266273494000
-1,117,1,6869.933600217169400
-1,117,2,9527.748703570607200
-1,118,0,2870.453233297008400
-1,118,1,6604.936472629297900
-1,118,2,9259.158337167038600
-1,119,0,2717.417782350534700
-1,119,1,6484.642805949917600
-1,119,2,9147.392847216811800
-1,120,0,2727.805984313251400
-1,120,1,6397.345620062748800
-1,120,2,9041.018348926229000
-1,121,0,3016.478723855138000
-1,121,1,6673.205870133814600
-1,121,2,9312.627005013735500
-1,122,0,3063.076211165220700
-1,122,1,6711.337502012234800
-1,122,2,9348.654469066958000
-1,123,0,3087.238365408956300
-1,123,1,6800.046875363965200
-1,123,2,9451.280005283799300
-1,124,0,3104.980361776878900
-1,124,1,6655.660667267517100
-1,124,2,9271.289594204396100
-1,125,0,2979.019138869973600
-1,125,1,6621.865999986560400
-1,125,2,9258.544207606199100
-1,126,0,3163.928711120872800
-1,126,1,6873.330849013915200
-1,126,2,9523.600671408585200
-1,127,0,3233.126969343855300
-1,127,1,6773.777045872667300
-1,127,2,9385.739730802421000
-1,128,0,3280.026731499450300
-1,128,1,6883.544366103575200
-1,128,2,9509.350285494523600
-1,129,0,3318.857762910335600
-1,129,1,6902.167179602810400
-1,129,2,9523.004355401906700
-1,130,0,2826.177042455211900
-1,130,1,6590.918794384079800
-1,130,2,9252.322941611748300
-1,131,0,3108.637635518736300
-1,131,1,6803.798146771833700
-1,131,2,9451.123171046940100
-1,132,0,2859.724913116060600
-1,132,1,6604.211205543417200
-1,132,2,9262.531352074715000
-1,133,0,3346.030027266955600
-1,133,1,7111.707493678375600
-1,133,2,9774.036736171587100
-1,134,0,2865.174024246799900
-1,134,1,6547.369201685639400
-1,134,2,9192.932612832290000
-1,135,0,2896.877653233647800
-1,135,1,6492.883043244994000
-1,135,2,9120.317099124886200
-1,136,0,3003.662171214285100
-1,136,1,6758.009286488490900
-1,136,2,9418.173878977526300
-1,137,0,3622.923164696821900
-1,137,1,7219.116825142965400
-1,137,2,9840.475309082994500
-1,138,0,2610.676146229479900
-1,138,1,6348.288136465254900
-1,138,2,9003.750247413045100
-1,139,0,2994.203650700422300
-1,139,1,6765.140062305203200
-1,139,2,9428.176858619430300
-1,140,0,3329.276195722321500
-1,140,1,7097.298572029409100
-1,140,2,9760.098041723582400
-1,141,0,3335.129219895670300
-1,141,1,6910.019984263997700
-1,141,2,9528.764136343497700
