FID,ddd,dist
6030,805.4138529,245.4901424
6497,805.5446535,245.5300104
3731,805.8700562,245.6291931
5797,806.3408112,245.7726793
5635,807.1431733,246.0172392
3674,807.3692284,246.0861408
925,807.4078532,246.0979137
766,807.4372663,246.1068788
308,807.5182988,246.1315775
5220,807.67916,246.180608
1346,807.7032275,246.1879438
5889,807.7416879,246.1996665
2870,807.7836635,246.2124606
4749,808.0867125,246.30483
5226,808.3812656,246.3946098
2388,808.455735,246.417308
1863,808.5844643,246.4565447
720,809.071543,246.6050063
896,809.8069487,246.829158
979,809.9962373,246.8868531
1719,810.2515171,246.9646624
3714,810.514118,247.0447032
5313,810.7841579,247.1270113
1671,810.8681754,247.1526199
5844,810.906875,247.1644155
330,810.9108647,247.1656316
4222,811.0084195,247.1953663
6064,811.1038475,247.2244527
3120,811.3656071,247.304237
3907,811.3833421,247.3096427
3119,811.5023935,247.3459296
3939,812.2087661,247.5612319
3308,812.2382506,247.5702188
53,812.6157565,247.6852826
828,812.9665176,247.7921946
4880,813.0502317,247.8177106
3528,813.5458239,247.9687671
3519,813.6730384,248.0075421
4794,814.056998,248.124573
545,814.4553795,248.2459997
6044,814.4931757,248.25752
2852,814.746726,248.3348021
2601,814.8569819,248.3684081
496,814.9147915,248.3860285
6023,814.9182541,248.3870839
5843,814.9828032,248.4067584
6219,815.2868687,248.4994376
2252,815.7017928,248.6259064
1233,815.8089938,248.6585813
4948,815.8189893,248.6616279
608,816.0301334,248.7259847
489,816.2239566,248.785062
5072,817.0599588,249.0398754
2172,817.061929,249.040476
50,817.1328154,249.0620821
4520,817.1733016,249.0744223
3957,817.6860159,249.2306976
27,817.7443549,249.2484794
5595,817.8311631,249.2749385
5700,818.3905254,249.4454321
5585,818.5296994,249.4878524
1174,818.7322318,249.5495842
6223,818.8276523,249.5786684
2665,818.9538929,249.6171466
5217,819.0226887,249.6381155
4755,819.2864344,249.7185052
1376,819.5226728,249.7905107
5834,820.0461818,249.9500762
591,820.6614393,250.1376067
343,820.787319,250.1759748
549,821.2749463,250.3246036
3237,821.3076771,250.33458
5821,821.5692635,250.4143115
5546,821.9333987,250.5252999
5238,822.6153231,250.7331505
5599,822.6501054,250.7437521
4411,822.6849358,250.7543684
3557,822.7954934,250.7880664
3142,822.8476893,250.8039757
1854,822.9330111,250.8299818
2663,822.9748806,250.8427436
6245,823.808529,251.0968396
1094,824.1119967,251.1893366
4856,824.8098476,251.4020415
784,825.1082267,251.4929875
1880,825.1817392,251.5153941
380,825.278339,251.5448377
869,825.6581734,251.6606112
1927,825.9676239,251.7549318
35,826.158717,251.8131769
5666,826.1862599,251.821572
3170,826.4987514,251.9168194
4816,826.5240599,251.9245335
3938,826.5362487,251.9282486
6057,826.5559139,251.9342426
1350,827.0682191,252.0903932
1280,827.1206379,252.1063704
5938,827.1493006,252.1151068
5925,827.2711149,252.1522358
5048,827.4512246,252.2071333
817,827.5815376,252.2468526
3589,827.6554116,252.2693695
263,827.9913665,252.3717685
1254,828.0098681,252.3774078
3458,828.0704021,252.3958586
1138,828.2286366,252.4440884
5900,828.4712239,252.5180291
3630,828.667452,252.5778394
5493,829.0192973,252.6850818
398,829.1795832,252.733937
6186,829.977714,252.9772072
2735,830.0466703,252.9982251
881,830.3081888,253.077936
4328,830.3915435,253.1033425
4982,830.4753818,253.1288964
5994,830.5091402,253.1391859
5362,830.6580952,253.1845874
5248,831.1627098,253.3383939
5061,831.1768558,253.3427057
7,831.2194727,253.3556953
1278,831.228429,253.3584252
5877,831.7478325,253.5167394
3605,831.9146413,253.5675827
5597,831.9179292,253.5685848
5954,832.0866174,253.620001
5951,833.1336871,253.9391478
5435,833.2179638,253.9648354
2269,833.4370962,254.0316269
38,833.9967636,254.2022135
5803,834.0786261,254.2271652
4818,834.1378724,254.2452235
1540,834.2703789,254.2856115
144,834.3211185,254.3010769
15,834.5794216,254.3798077
673,834.6396441,254.3981635
5404,834.8483288,254.4617706
4692,834.9216364,254.4841148
306,835.0881901,254.5348803
2819,835.145513,254.5523524
335,835.1592812,254.5565489
977,835.6319504,254.7006185
285,836.1121609,254.8469867
705,836.2957258,254.9029372
3091,836.3489328,254.9191547
4841,836.5067747,254.9672649
5909,836.6461861,255.0097575
6227,837.2936275,255.2070977
5566,838.0351729,255.4331207
5839,838.5496245,255.5899256
564,838.6209441,255.6116638
3192,838.6823666,255.6303854
6168,839.6327381,255.9200586
2180,839.6958915,255.9393077
5708,839.9229874,256.0085266
5557,840.0603647,256.0503992
384,840.1977818,256.0922839
2100,840.6505422,256.2302853
1494,841.1160877,256.3721835
6130,841.6903165,256.5472085
5155,842.4120236,256.7671848
458,842.58437,256.819716
5132,842.6285398,256.8331789
6161,842.6362276,256.8355222
6048,842.7779373,256.8787153
6110,843.2520634,257.0232289
587,843.4870959,257.0948668
3926,843.5783671,257.1226863
5093,843.7146952,257.1642391
1348,843.834199,257.2006639
1009,843.8909255,257.2179541
4685,843.8978883,257.2200764
1406,844.8269111,257.5032425
1113,845.6673558,257.7594101
887,845.7004268,257.7694901
3575,845.8256137,257.807647
5793,846.2918873,257.9497672
215,846.3353085,257.963002
1383,846.4323436,257.9925783
5069,846.7280437,258.0827077
67,846.7720665,258.0961259
3824,846.7775173,258.0977873
1390,847.0518238,258.1813959
2826,847.1513201,258.2117224
1076,847.2758123,258.2496676
1471,847.3023082,258.2577435
573,847.3040258,258.2582671
3662,847.4428505,258.3005808
4067,847.8050623,258.410983
5864,848.1792155,258.5250249
1526,848.365471,258.5817956
1329,848.565222,258.6426797
2816,848.6310891,258.662756
5876,848.6406402,258.6656671
5096,848.6892212,258.6804746
2977,848.8024816,258.7149964
725,849.0078612,258.7775961
4001,849.2175008,258.8414942
998,849.3614021,258.8853553
21,849.3900535,258.8940883
1826,849.5044516,258.9289568
3395,849.5593656,258.9456946
946,849.8931094,259.0474197
3693,850.1346763,259.1210493
1337,850.1987135,259.1405679
2163,850.2354144,259.1517543
485,850.3281889,259.180032
90,850.7183876,259.2989646
5543,850.7802968,259.3178345
1644,851.2390058,259.457649
3261,851.6149907,259.5722492
3231,851.9731394,259.6814129
806,852.1991658,259.7503057
5928,852.398104,259.8109421
4,852.4823235,259.8366122
1493,852.5034638,259.8430558
5506,853.0577152,260.0119916
5445,853.1700357,260.0462269
3249,853.1705585,260.0463862
5715,853.2937308,260.0839291
1455,853.2967602,260.0848525
958,853.4861403,260.1425756
675,853.8843712,260.2639563
5782,853.913985,260.2729826
763,854.1726933,260.3518369
5703,854.1917968,260.3576597
3798,854.3778076,260.4143557
6213,854.3850604,260.4165664
356,854.5883507,260.4785293
3345,854.7296615,260.5216008
5605,854.7530088,260.5287171
3157,854.8183675,260.5486384
1316,854.8202167,260.5492021
193,854.8413221,260.555635
700,855.1799511,260.6588491
166,855.199752,260.6648844
4943,855.3239034,260.7027258
1230,855.3810216,260.7201354
4933,855.4642954,260.7455172
3178,856.0100988,260.9118781
4323,856.1490104,260.9542184
1557,856.3649669,261.0200419
639,857.276604,261.2979089
6181,857.9115545,261.4914418
4398,857.9885065,261.5148968
133,858.1410714,261.5613986
5628,858.5331007,261.6808891
2266,859.1083874,261.8562365
3455,859.1952023,261.8826977
4781,859.2703751,261.9056103
830,859.3205225,261.9208952
419,859.5717763,261.9974774
2061,860.4131232,262.25392
6008,860.5961341,262.3097017
1040,860.7164773,262.3463823
1709,860.8201758,262.3779896
1503,861.0663048,262.4530097
5527,861.129172,262.4721716
4637,861.1331923,262.473397
4485,861.4025335,262.5554922
554,862.4119002,262.8631472
5544,862.757807,262.9685796
4836,863.2606263,263.1218389
4274,863.4514453,263.1800005
1046,863.9503992,263.3320817
961,863.97782,263.3404395
3920,864.0067743,263.3492648
406,864.3205171,263.4448936
5652,864.3777714,263.4623447
6103,864.5143031,263.5039596
5826,864.8419867,263.6038375
62,864.9222263,263.6282946
3664,866.1439458,264.0006747
6122,866.6518403,264.1554809
5698,866.8622924,264.2196267
2806,867.3088181,264.3557277
4454,867.4890317,264.4106569
866,867.6094627,264.4473642
2604,867.8037477,264.5065823
6017,867.8817277,264.5303506
3414,868.0107831,264.5696867
5941,868.1639465,264.6163709
5042,868.3314949,264.6674397
5252,868.6469165,264.7635801
4907,869.5154052,265.0282955
3010,869.8341086,265.1254363
5131,869.8761362,265.1382463
1188,869.9501781,265.1608143
917,870.0205156,265.1822531
572,870.6161257,265.3637951
2318,870.7236751,265.3965762
3883,870.7483423,265.4040947
28,870.833808,265.4301447
620,870.9164026,265.4553195
5179,870.9695354,265.4715144
749,871.0483495,265.4955369
2611,871.0752986,265.503751
264,871.1034611,265.512335
175,871.1566143,265.528536
3797,871.4968773,265.6322482
1242,871.7382153,265.705808
